_id,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
617c524248c3f71421d685d7,2021-10-27,644.48,648.8053,639.81,640.08,640.08,1556998.0,1556998.0,-4.4,-0.683,642.89843,"October 27, 21",-0.00683
617c524248c3f71421d685d8,2021-10-26,650.91,659.19,642.1,642.5,642.5,2170556.0,2170556.0,-8.41,-1.292,647.93,"October 26, 21",-0.01292
617c524248c3f71421d685d9,2021-10-25,644.47,649.6,639.0652,646.97,646.97,1638847.0,1638847.0,2.5,0.388,645.21173,"October 25, 21",0.00388
617c524248c3f71421d685da,2021-10-22,640.43,644.43,634.45,643.58,643.58,1790901.0,1790901.0,3.15,0.492,640.82,"October 22, 21",0.00492
617c524248c3f71421d685db,2021-10-21,632.0,639.17,629.0,638.66,638.66,1598874.0,1598874.0,6.66,1.054,635.61,"October 21, 21",0.01054
617c524248c3f71421d685dc,2021-10-20,639.28,641.29,630.1713,632.37,632.37,1497884.0,1497884.0,-6.91,-1.081,634.61043,"October 20, 21",-0.01081
617c524248c3f71421d685dd,2021-10-19,625.26,639.39,625.26,636.07,636.07,2483593.0,2483593.0,10.81,1.729,633.57333,"October 19, 21",0.01729
617c524248c3f71421d685de,2021-10-18,610.65,623.47,607.57,622.83,622.83,1778508.0,1778508.0,12.18,1.995,617.95667,"October 18, 21",0.01995
617c524248c3f71421d685df,2021-10-15,611.6935,612.25,607.65,610.09,610.09,1970338.0,1970338.0,-1.6035,-0.262,609.99667,"October 15, 21",-0.00262
617c524248c3f71421d685e0,2021-10-14,600.0,609.44,596.97,607.51,607.51,2521032.0,2521032.0,7.51,1.252,604.64,"October 14, 21",0.01252
617c524248c3f71421d685e1,2021-10-13,585.26,593.4,582.655,591.12,591.12,2155232.0,2155232.0,5.86,1.001,589.05833,"October 13, 21",0.01001
617c524248c3f71421d685e2,2021-10-12,579.157,584.205,574.42,580.69,580.69,1752615.0,1752615.0,1.533,0.265,579.77167,"October 12, 21",0.00265
617c524248c3f71421d685e3,2021-10-11,574.5,582.24,571.5,573.07,573.07,1315031.0,1315031.0,-1.43,-0.249,575.60333,"October 11, 21",-0.00249
617c524248c3f71421d685e4,2021-10-08,581.3,583.61,575.52,576.86,576.86,2059546.0,2059546.0,-4.44,-0.764,578.66333,"October 08, 21",-0.00764
617c524248c3f71421d685e5,2021-10-07,578.46,586.145,576.33,578.96,578.96,2528324.0,2528324.0,0.5,0.086,580.47833,"October 07, 21",0.00086
617c524248c3f71421d685e6,2021-10-06,561.24,571.98,560.24,570.31,570.31,2055365.0,2055365.0,9.07,1.616,567.51,"October 06, 21",0.01616
617c524248c3f71421d685e7,2021-10-05,563.91,570.28,559.21,566.7,566.7,2267268.0,2267268.0,2.79,0.495,565.39667,"October 05, 21",0.00495
617c524248c3f71421d685e8,2021-10-04,574.59,576.8,552.14,558.49,558.49,4005925.0,4005925.0,-16.1,-2.802,562.47667,"October 04, 21",-0.02802
617c524248c3f71421d685e9,2021-10-01,577.52,581.47,568.61,577.47,577.47,2936630.0,2936630.0,-0.05,-0.009,575.85,"October 01, 21",-9e-05
617c524248c3f71421d685ea,2021-09-30,580.64,586.19,573.24,575.72,575.72,2663451.0,2663451.0,-4.92,-0.847,578.38333,"September 30, 21",-0.00847
617c524248c3f71421d685eb,2021-09-29,585.45,586.52,576.07,577.7,577.7,2737330.0,2737330.0,-7.75,-1.324,580.09667,"September 29, 21",-0.01324
617c524248c3f71421d685ec,2021-09-28,596.31,596.31,578.33,578.77,578.77,5094983.0,5094983.0,-17.54,-2.941,584.47,"September 28, 21",-0.02941
617c524248c3f71421d685ed,2021-09-27,615.8,616.66,602.73,603.65,603.65,4176231.0,4176231.0,-12.15,-1.973,607.68,"September 27, 21",-0.01973
617c524248c3f71421d685ee,2021-09-24,628.0,628.92,618.22,622.71,622.71,2832502.0,2832502.0,-5.29,-0.842,623.28333,"September 24, 21",-0.00842
617c524248c3f71421d685ef,2021-09-23,632.29,633.82,627.02,630.84,630.84,2961478.0,2961478.0,-1.45,-0.229,630.56,"September 23, 21",-0.00229
617c524248c3f71421d685f0,2021-09-22,624.79,628.94,615.06,626.08,626.08,5705579.0,5705579.0,1.29,0.206,623.36,"September 22, 21",0.00206
617c524248c3f71421d685f1,2021-09-21,646.88,650.95,640.3,645.89,645.89,2453788.0,2453788.0,-0.99,-0.153,645.71333,"September 21, 21",-0.00153
617c524248c3f71421d685f2,2021-09-20,646.04,653.93,633.05,641.29,641.29,2663729.0,2663729.0,-4.75,-0.735,642.75667,"September 20, 21",-0.00735
617c524248c3f71421d685f3,2021-09-17,663.21,665.0,652.04,654.48,654.48,3580492.0,3580492.0,-8.73,-1.316,657.17333,"September 17, 21",-0.01316
617c524248c3f71421d685f4,2021-09-16,657.53,666.47,654.71,665.11,665.11,2061619.0,2061619.0,7.58,1.153,662.09667,"September 16, 21",0.01153
617c524248c3f71421d685f5,2021-09-15,652.32,663.31,650.98,661.08,661.08,1989062.0,1989062.0,8.76,1.343,658.45667,"September 15, 21",0.01343
617c524248c3f71421d685f6,2021-09-14,646.0,649.57,642.46,645.01,645.01,2166968.0,2166968.0,-0.99,-0.153,645.68,"September 14, 21",-0.00153
617c524248c3f71421d685f7,2021-09-13,663.04,663.6,640.24,645.15,645.15,2249812.0,2249812.0,-17.89,-2.698,649.66333,"September 13, 21",-0.02698
617c524248c3f71421d685f8,2021-09-10,666.18,668.87,658.2,658.94,658.94,1209384.0,1209384.0,-7.24,-1.087,662.00333,"September 10, 21",-0.01087
617c524248c3f71421d685f9,2021-09-09,664.84,667.4,659.93,661.68,661.68,1102083.0,1102083.0,-3.16,-0.475,663.00333,"September 09, 21",-0.00475
617c524248c3f71421d685fa,2021-09-08,660.15,664.07,657.23,663.22,663.22,1369833.0,1369833.0,3.07,0.465,661.50667,"September 08, 21",0.00465
617c524248c3f71421d685fb,2021-09-07,667.35,668.87,656.57,661.39,661.39,1383593.0,1383593.0,-5.96,-0.893,662.27667,"September 07, 21",-0.00893
617c524248c3f71421d685fc,2021-09-03,664.43,673.88,664.3,666.59,666.59,1648328.0,1648328.0,2.16,0.325,668.25667,"September 03, 21",0.00325
617c524248c3f71421d685fd,2021-09-02,669.82,669.85,661.67,664.64,664.64,1404492.0,1404492.0,-5.18,-0.773,665.38667,"September 02, 21",-0.00773
617c524248c3f71421d685fe,2021-09-01,664.51,668.96,662.0,665.89,665.89,1249604.0,1249604.0,1.38,0.208,665.61667,"September 01, 21",0.00208
617c524248c3f71421d685ff,2021-08-31,667.9,667.9,660.49,663.7,663.7,1881677.0,1881677.0,-4.2,-0.629,664.03,"August 31, 21",-0.00629
617c524248c3f71421d68600,2021-08-30,659.78,667.67,659.78,665.99,665.99,1307038.0,1307038.0,6.21,0.941,664.48,"August 30, 21",0.00941
617c524248c3f71421d68601,2021-08-27,652.52,662.61,651.86,658.52,658.52,1147459.0,1147459.0,6.0,0.92,657.66333,"August 27, 21",0.0092
617c524248c3f71421d68602,2021-08-26,653.59,657.91,649.35,652.39,652.39,1629966.0,1629966.0,-1.2,-0.184,653.21667,"August 26, 21",-0.00184
617c524248c3f71421d68603,2021-08-25,658.61,661.06,651.68,656.8,656.8,1054985.0,1054985.0,-1.81,-0.275,656.51333,"August 25, 21",-0.00275
617c524248c3f71421d68604,2021-08-24,659.14,660.0,653.4,657.24,657.24,872707.0,872707.0,-1.9,-0.288,656.88,"August 24, 21",-0.00288
617c524248c3f71421d68605,2021-08-23,645.87,658.5,645.56,656.86,656.86,1653228.0,1653228.0,10.99,1.702,653.64,"August 23, 21",0.01702
617c524248c3f71421d68606,2021-08-20,639.84,651.99,634.81,647.34,647.34,1446799.0,1446799.0,7.5,1.172,644.71333,"August 20, 21",0.01172
617c524248c3f71421d68607,2021-08-19,624.88,642.55,623.63,637.66,637.66,1705120.0,1705120.0,12.78,2.045,634.61333,"August 19, 21",0.02045
617c524248c3f71421d68608,2021-08-18,632.8,637.13,626.08,626.77,626.77,1398699.0,1398699.0,-6.03,-0.953,629.99333,"August 18, 21",-0.00953
617c524248c3f71421d68609,2021-08-17,636.55,637.0,630.22,635.01,635.01,1350974.0,1350974.0,-1.54,-0.242,634.07667,"August 17, 21",-0.00242
617c524248c3f71421d6860a,2021-08-16,637.03,638.02,628.19,636.94,636.94,1111851.0,1111851.0,-0.09,-0.014,634.38333,"August 16, 21",-0.00014
617c524248c3f71421d6860b,2021-08-13,634.49,638.43,632.35,637.31,637.31,933577.0,933577.0,2.82,0.444,636.03,"August 13, 21",0.00444
617c524248c3f71421d6860c,2021-08-12,626.0,636.64,624.04,634.35,634.35,1171598.0,1171598.0,8.35,1.334,631.67667,"August 12, 21",0.01334
617c524248c3f71421d6860d,2021-08-11,623.76,627.42,621.66,626.03,626.03,1339346.0,1339346.0,2.27,0.364,625.03667,"August 11, 21",0.00364
617c524248c3f71421d6860e,2021-08-10,630.48,633.0,620.62,621.74,621.74,1541429.0,1541429.0,-8.74,-1.386,625.12,"August 10, 21",-0.01386
617c524248c3f71421d6860f,2021-08-09,634.98,634.98,626.93,629.22,629.22,1120889.0,1120889.0,-5.76,-0.907,630.37667,"August 09, 21",-0.00907
617c524248c3f71421d68610,2021-08-06,629.27,631.84,625.26,631.38,631.38,1068471.0,1068471.0,2.11,0.335,629.49333,"August 06, 21",0.00335
617c524248c3f71421d68611,2021-08-05,626.99,632.47,623.0,632.08,632.08,1165247.0,1165247.0,5.09,0.812,629.18333,"August 05, 21",0.00812
617c524248c3f71421d68612,2021-08-04,622.47,627.04,617.62,625.68,625.68,1309703.0,1309703.0,3.21,0.516,623.44667,"August 04, 21",0.00516
617c524248c3f71421d68613,2021-08-03,620.23,624.53,614.0,621.28,621.28,1067211.0,1067211.0,1.05,0.169,619.93667,"August 03, 21",0.00169
617c524248c3f71421d68614,2021-08-02,625.87,627.6,612.93,618.75,618.75,1446900.0,1446900.0,-7.12,-1.138,619.76,"August 02, 21",-0.01138
617c524248c3f71421d68615,2021-07-30,619.03,622.8,617.29,621.63,621.63,1205645.0,1205645.0,2.6,0.42,620.57333,"July 30, 21",0.0042
617c524248c3f71421d68616,2021-07-29,617.04,625.67,617.04,621.7,621.7,1006295.0,1006295.0,4.66,0.755,621.47,"July 29, 21",0.00755
617c524248c3f71421d68617,2021-07-28,620.99,625.96,617.57,620.92,620.92,1389450.0,1389450.0,-0.07,-0.011,621.48333,"July 28, 21",-0.00011
617c524248c3f71421d68618,2021-07-27,621.0,623.92,610.64,618.28,618.28,1532973.0,1532973.0,-2.72,-0.438,617.61333,"July 27, 21",-0.00438
617c524248c3f71421d68619,2021-07-26,624.18,625.87,619.73,620.8,620.8,1287743.0,1287743.0,-3.38,-0.542,622.13333,"July 26, 21",-0.00542
617c524248c3f71421d6861a,2021-07-23,625.76,631.64,622.0,625.87,625.87,2011919.0,2011919.0,0.11,0.018,626.50333,"July 23, 21",0.00018
617c524248c3f71421d6861b,2021-07-22,614.58,623.95,614.58,623.68,623.68,1403828.0,1403828.0,9.1,1.481,620.73667,"July 22, 21",0.01481
617c524248c3f71421d6861c,2021-07-21,605.72,612.58,603.32,612.26,612.26,1269009.0,1269009.0,6.54,1.08,609.38667,"July 21, 21",0.0108
617c524248c3f71421d6861d,2021-07-20,605.39,612.75,598.48,608.72,608.72,1690684.0,1690684.0,3.33,0.55,606.65,"July 20, 21",0.0055
617c524248c3f71421d6861e,2021-07-19,602.75,610.69,598.14,602.05,602.05,1808658.0,1808658.0,-0.7,-0.116,603.62667,"July 19, 21",-0.00116
617c524248c3f71421d6861f,2021-07-16,608.71,611.62,603.66,606.1,606.1,1252446.0,1252446.0,-2.61,-0.429,607.12667,"July 16, 21",-0.00429
617c524248c3f71421d68620,2021-07-15,608.4,609.95,602.65,606.17,606.17,1611015.0,1611015.0,-2.23,-0.367,606.25667,"July 15, 21",-0.00367
617c524248c3f71421d68621,2021-07-14,608.14,611.31,604.24,608.83,608.83,1359990.0,1359990.0,0.69,0.113,608.12667,"July 14, 21",0.00113
617c524248c3f71421d68622,2021-07-13,600.56,609.33,598.42,605.01,605.01,1398854.0,1398854.0,4.45,0.741,604.25333,"July 13, 21",0.00741
617c524248c3f71421d68623,2021-07-12,606.0,607.42,596.48,600.2,600.2,1667880.0,1667880.0,-5.8,-0.957,601.36667,"July 12, 21",-0.00957
617c524248c3f71421d68624,2021-07-09,601.43,605.95,597.44,604.5,604.5,2165976.0,2165976.0,3.07,0.51,602.63,"July 09, 21",0.0051
617c524248c3f71421d68625,2021-07-08,595.64,607.3,593.33,605.95,605.95,1862874.0,1862874.0,10.31,1.731,602.19333,"July 08, 21",0.01731
617c524248c3f71421d68626,2021-07-07,600.0,607.67,597.4,605.77,605.77,2041812.0,2041812.0,5.77,0.962,603.61333,"July 07, 21",0.00962
617c524248c3f71421d68627,2021-07-06,595.87,600.66,592.51,596.9,596.9,1665608.0,1665608.0,1.03,0.173,596.69,"July 06, 21",0.00173
617c524248c3f71421d68628,2021-07-02,588.67,594.08,587.96,593.07,593.07,1745335.0,1745335.0,4.4,0.747,591.70333,"July 02, 21",0.00747
617c524248c3f71421d68629,2021-07-01,583.33,587.78,581.47,584.73,584.73,1661190.0,1661190.0,1.4,0.24,584.66,"July 01, 21",0.0024
617c524248c3f71421d6862a,2021-06-30,590.75,592.24,585.0,585.64,585.64,1707497.0,1707497.0,-5.11,-0.865,587.62667,"June 30, 21",-0.00865
617c524248c3f71421d6862b,2021-06-29,586.78,591.3,583.9,590.75,590.75,1135413.0,1135413.0,3.97,0.677,588.65,"June 29, 21",0.00677
