_id,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
617c525048c3f71421d69983,2021-10-27,2788.1001,2973.0,2788.1001,2924.3501,2924.3501,4211974.0,4211974.0,136.25,4.887,2895.15007,"October 27, 21",0.04887
617c525048c3f71421d69984,2021-10-26,2785.27,2800.7451,2766.0901,2786.1699,2786.1699,2252390.0,2252390.0,0.8999,0.032,2784.33503,"October 26, 21",0.00032
617c525048c3f71421d69985,2021-10-25,2751.0,2760.0,2709.0,2748.9399,2748.9399,1692672.0,1692672.0,-2.0601,-0.075,2739.3133,"October 25, 21",-0.00075
617c525048c3f71421d69986,2021-10-22,2783.0,2811.6599,2721.1201,2751.3301,2751.3301,2529662.0,2529662.0,-31.6699,-1.138,2761.37003,"October 22, 21",-0.01138
617c525048c3f71421d69987,2021-10-21,2835.3799,2843.1201,2810.0,2837.72,2837.72,1312478.0,1312478.0,2.3401,0.083,2830.28003,"October 21, 21",0.00083
617c525048c3f71421d69988,2021-10-20,2866.76,2869.6899,2827.8899,2835.3799,2835.3799,1104215.0,1104215.0,-31.3801,-1.095,2844.3199,"October 20, 21",-0.01095
617c525048c3f71421d69989,2021-10-19,2867.75,2873.25,2852.0,2864.74,2864.74,1010232.0,1010232.0,-3.01,-0.105,2863.33,"October 19, 21",-0.00105
617c525048c3f71421d6998a,2021-10-18,2821.53,2855.9199,2821.3889,2855.5601,2855.5601,970141.0,970141.0,34.0301,1.206,2844.28963,"October 18, 21",0.01206
617c525048c3f71421d6998b,2021-10-15,2832.29,2834.3601,2815.1001,2827.3601,2827.3601,1519827.0,1519827.0,-4.9299,-0.174,2825.60677,"October 15, 21",-0.00174
617c525048c3f71421d6998c,2021-10-14,2789.4761,2826.7451,2776.5,2823.02,2823.02,1607574.0,1607574.0,33.5439,1.203,2808.75503,"October 14, 21",0.01203
617c525048c3f71421d6998d,2021-10-13,2748.05,2760.0,2731.01,2751.6399,2751.6399,979038.0,979038.0,3.5899,0.131,2747.54997,"October 13, 21",0.00131
617c525048c3f71421d6998e,2021-10-12,2789.6001,2790.1399,2715.3049,2728.98,2728.98,1802517.0,1802517.0,-60.6201,-2.173,2744.80827,"October 12, 21",-0.02173
617c525048c3f71421d6998f,2021-10-11,2785.8401,2814.24,2777.1799,2778.28,2778.28,824088.0,824088.0,-7.5601,-0.271,2789.89997,"October 11, 21",-0.00271
617c525048c3f71421d69990,2021-10-08,2791.54,2806.6206,2784.3501,2795.71,2795.71,1219689.0,1219689.0,4.17,0.149,2795.56023,"October 08, 21",0.00149
617c525048c3f71421d69991,2021-10-07,2777.8401,2800.6599,2773.0239,2784.5,2784.5,1181300.0,1181300.0,6.6599,0.24,2786.06127,"October 07, 21",0.0024
617c525048c3f71421d69992,2021-10-06,2695.0,2755.0,2691.0,2751.3,2751.3,1228660.0,1228660.0,56.3,2.089,2732.43333,"October 06, 21",0.02089
617c525048c3f71421d69993,2021-10-05,2680.82,2744.49,2680.82,2720.46,2720.46,1620055.0,1620055.0,39.64,1.479,2715.25667,"October 05, 21",0.01479
617c525048c3f71421d69994,2021-10-04,2719.21,2719.21,2621.0,2673.1899,2673.1899,2568719.0,2568719.0,-46.0201,-1.692,2671.1333,"October 04, 21",-0.01692
617c525048c3f71421d69995,2021-10-01,2688.95,2738.21,2681.46,2730.86,2730.86,1526449.0,1526449.0,41.91,1.559,2716.84333,"October 01, 21",0.01559
617c525048c3f71421d69996,2021-09-30,2685.23,2710.31,2671.12,2673.52,2673.52,1855474.0,1855474.0,-11.71,-0.436,2684.98333,"September 30, 21",-0.00436
617c525048c3f71421d69997,2021-09-29,2739.6,2742.9,2677.3,2687.07,2687.07,1518826.0,1518826.0,-52.53,-1.917,2702.42333,"September 29, 21",-0.01917
617c525048c3f71421d69998,2021-09-28,2773.1,2781.93,2707.2,2716.6,2716.6,2260561.0,2260561.0,-56.5,-2.037,2735.24333,"September 28, 21",-0.02037
617c525048c3f71421d69999,2021-09-27,2816.09,2838.77,2801.35,2821.44,2821.44,1094381.0,1094381.0,5.35,0.19,2820.52,"September 27, 21",0.0019
617c525048c3f71421d6999a,2021-09-24,2810.77,2846.61,2804.82,2844.3,2844.3,1147909.0,1147909.0,33.53,1.193,2831.91,"September 24, 21",0.01193
617c525048c3f71421d6999b,2021-09-23,2819.75,2833.93,2808.03,2824.32,2824.32,1046149.0,1046149.0,4.57,0.162,2822.09333,"September 23, 21",0.00162
617c525048c3f71421d6999c,2021-09-22,2786.08,2817.4,2771.03,2805.67,2805.67,1257516.0,1257516.0,19.59,0.703,2798.03333,"September 22, 21",0.00703
617c525048c3f71421d6999d,2021-09-21,2794.99,2800.12,2765.56,2780.66,2780.66,1253777.0,1253777.0,-14.33,-0.513,2782.11333,"September 21, 21",-0.00513
617c525048c3f71421d6999e,2021-09-20,2763.23,2780.0,2726.44,2774.39,2774.39,2206367.0,2206367.0,11.16,0.404,2760.27667,"September 20, 21",0.00404
617c525048c3f71421d6999f,2021-09-17,2860.61,2869.0,2809.4,2816.0,2816.0,2683499.0,2683499.0,-44.61,-1.559,2831.46667,"September 17, 21",-0.01559
617c525048c3f71421d699a0,2021-09-16,2879.01,2886.0,2848.03,2872.2,2872.2,1285127.0,1285127.0,-6.81,-0.237,2868.74333,"September 16, 21",-0.00237
617c525048c3f71421d699a1,2021-09-15,2855.43,2889.01,2826.96,2888.59,2888.59,1361946.0,1361946.0,33.16,1.161,2868.18667,"September 15, 21",0.01161
617c525048c3f71421d699a2,2021-09-14,2859.91,2867.22,2835.55,2850.89,2850.89,918768.0,918768.0,-9.02,-0.315,2851.22,"September 14, 21",-0.00315
617c525048c3f71421d699a3,2021-09-13,2838.99,2858.87,2825.54,2846.65,2846.65,1067222.0,1067222.0,7.66,0.27,2843.68667,"September 13, 21",0.0027
617c525048c3f71421d699a4,2021-09-10,2884.25,2894.37,2814.75,2817.52,2817.52,1810518.0,1810518.0,-66.73,-2.314,2842.21333,"September 10, 21",-0.02314
617c525048c3f71421d699a5,2021-09-09,2876.81,2886.21,2863.55,2870.82,2870.82,749098.0,749098.0,-5.99,-0.208,2873.52667,"September 09, 21",-0.00208
617c525048c3f71421d699a6,2021-09-08,2882.0,2887.74,2860.0,2873.82,2873.82,922296.0,922296.0,-8.18,-0.284,2873.85333,"September 08, 21",-0.00284
617c525048c3f71421d699a7,2021-09-07,2876.69,2891.3,2872.38,2885.61,2885.61,991804.0,991804.0,8.92,0.31,2883.09667,"September 07, 21",0.0031
617c525048c3f71421d699a8,2021-09-03,2861.61,2882.87,2848.01,2874.79,2874.79,999504.0,999504.0,13.18,0.461,2868.55667,"September 03, 21",0.00461
617c525048c3f71421d699a9,2021-09-02,2904.32,2910.39,2863.7,2865.74,2865.74,1585953.0,1585953.0,-38.58,-1.328,2879.94333,"September 02, 21",-0.01328
617c525048c3f71421d699aa,2021-09-01,2900.0,2923.97,2897.67,2904.31,2904.31,1090498.0,1090498.0,4.31,0.149,2908.65,"September 01, 21",0.00149
617c525048c3f71421d699ab,2021-08-31,2902.94,2903.43,2885.62,2893.95,2893.95,1047823.0,1047823.0,-8.99,-0.31,2894.33333,"August 31, 21",-0.0031
617c525048c3f71421d699ac,2021-08-30,2888.0,2919.41,2883.26,2891.81,2891.81,1148220.0,1148220.0,3.81,0.132,2898.16,"August 30, 21",0.00132
617c525048c3f71421d699ad,2021-08-27,2833.05,2890.04,2830.0,2880.08,2880.08,1440698.0,1440698.0,47.03,1.66,2866.70667,"August 27, 21",0.0166
617c525048c3f71421d699ae,2021-08-26,2835.0,2848.35,2827.14,2828.81,2828.81,1029284.0,1029284.0,-6.19,-0.218,2834.76667,"August 26, 21",-0.00218
617c525048c3f71421d699af,2021-08-25,2832.5,2843.79,2827.52,2841.58,2841.58,757277.0,757277.0,9.08,0.321,2837.63,"August 25, 21",0.00321
617c525048c3f71421d699b0,2021-08-24,2812.23,2841.5,2806.93,2825.23,2825.23,968819.0,968819.0,13.0,0.462,2824.55333,"August 24, 21",0.00462
617c525048c3f71421d699b1,2021-08-23,2759.39,2817.49,2752.15,2800.83,2800.83,1363192.0,1363192.0,41.44,1.502,2790.15667,"August 23, 21",0.01502
617c525048c3f71421d699b2,2021-08-20,2720.0,2751.0,2705.0,2748.59,2748.59,1509129.0,1509129.0,28.59,1.051,2734.86333,"August 20, 21",0.01051
617c525048c3f71421d699b3,2021-08-19,2688.71,2727.05,2685.0,2713.6,2713.6,1051290.0,1051290.0,24.89,0.926,2708.55,"August 19, 21",0.00926
617c525048c3f71421d699b4,2021-08-18,2730.0,2742.08,2706.43,2708.98,2708.98,880070.0,880070.0,-21.02,-0.77,2719.16333,"August 18, 21",-0.0077
617c525048c3f71421d699b5,2021-08-17,2755.0,2765.31,2721.64,2733.23,2733.23,1016908.0,1016908.0,-21.77,-0.79,2740.06,"August 17, 21",-0.0079
617c525048c3f71421d699b6,2021-08-16,2750.5,2767.25,2706.95,2766.19,2766.19,1128571.0,1128571.0,15.69,0.57,2746.79667,"August 16, 21",0.0057
617c525048c3f71421d699b7,2021-08-13,2745.0,2757.13,2741.15,2754.55,2754.55,734254.0,734254.0,9.55,0.348,2750.94333,"August 13, 21",0.00348
617c525048c3f71421d699b8,2021-08-12,2719.51,2746.0,2708.51,2743.88,2743.88,833208.0,833208.0,24.37,0.896,2732.79667,"August 12, 21",0.00896
617c525048c3f71421d699b9,2021-08-11,2743.63,2753.65,2725.43,2725.58,2725.58,767259.0,767259.0,-18.05,-0.658,2734.88667,"August 11, 21",-0.00658
617c525048c3f71421d699ba,2021-08-10,2746.84,2754.81,2727.55,2736.14,2736.14,939101.0,939101.0,-10.7,-0.39,2739.5,"August 10, 21",-0.0039
617c525048c3f71421d699bb,2021-08-09,2718.85,2743.35,2707.22,2738.26,2738.26,865743.0,865743.0,19.41,0.714,2729.61,"August 09, 21",0.00714
617c525048c3f71421d699bc,2021-08-06,2720.84,2729.45,2704.2,2714.77,2714.77,1033365.0,1033365.0,-6.07,-0.223,2716.14,"August 06, 21",-0.00223
617c525048c3f71421d699bd,2021-08-05,2713.61,2727.0,2696.92,2725.03,2725.03,898381.0,898381.0,11.42,0.421,2716.31667,"August 05, 21",0.00421
617c525048c3f71421d699be,2021-08-04,2706.99,2712.99,2689.76,2702.51,2702.51,990781.0,990781.0,-4.48,-0.165,2701.75333,"August 04, 21",-0.00165
617c525048c3f71421d699bf,2021-08-03,2702.7,2714.64,2666.39,2712.6,2712.6,1046242.0,1046242.0,9.9,0.366,2697.87667,"August 03, 21",0.00366
