_id,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
617c525748c3f71421d6a359,2021-10-27,669.0,671.41,661.86,662.92,662.92,2296493.0,2296493.0,-6.08,-0.909,665.39667,"October 27, 21",-0.00909
617c525748c3f71421d6a35a,2021-10-26,673.76,676.49,662.77,668.52,668.52,2913737.0,2913737.0,-5.24,-0.778,669.26,"October 26, 21",-0.00778
617c525748c3f71421d6a35b,2021-10-25,663.74,675.88,657.07,671.66,671.66,3836270.0,3836270.0,7.92,1.193,668.20333,"October 25, 21",0.01193
617c525748c3f71421d6a35c,2021-10-22,651.81,665.46,651.81,664.78,664.78,6236301.0,6236301.0,12.97,1.99,660.68333,"October 22, 21",0.0199
617c525748c3f71421d6a35d,2021-10-21,628.89,654.01,628.65,653.16,653.16,8436244.0,8436244.0,24.27,3.859,645.27333,"October 21, 21",0.03859
617c525748c3f71421d6a35e,2021-10-20,625.5728,637.3,617.15,625.14,625.14,10528468.0,10528468.0,-0.4328,-0.069,626.53,"October 20, 21",-0.00069
617c525748c3f71421d6a35f,2021-10-19,636.97,641.0,632.3,639.0,639.0,7564782.0,7564782.0,2.03,0.319,637.43333,"October 19, 21",0.00319
617c525748c3f71421d6a360,2021-10-18,632.1,638.41,620.5901,637.97,637.97,4444644.0,4444644.0,5.87,0.929,632.32337,"October 18, 21",0.00929
617c525748c3f71421d6a361,2021-10-15,638.0,639.42,625.16,628.29,628.29,4129892.0,4129892.0,-9.71,-1.522,630.95667,"October 15, 21",-0.01522
617c525748c3f71421d6a362,2021-10-14,632.23,636.88,626.8,633.8,633.8,2680405.0,2680405.0,1.57,0.248,632.49333,"October 14, 21",0.00248
617c525748c3f71421d6a363,2021-10-13,632.179,632.1791,622.19,629.76,629.76,2431497.0,2431497.0,-2.419,-0.383,628.04303,"October 13, 21",-0.00383
617c525748c3f71421d6a364,2021-10-12,633.02,637.655,621.99,624.94,624.94,3170422.0,3170422.0,-8.08,-1.276,628.195,"October 12, 21",-0.01276
617c525748c3f71421d6a365,2021-10-11,633.195,639.38,626.78,627.04,627.04,2871904.0,2871904.0,-6.155,-0.972,631.06667,"October 11, 21",-0.00972
617c525748c3f71421d6a366,2021-10-08,634.165,643.78,630.86,632.66,632.66,3281524.0,3281524.0,-1.505,-0.237,635.76667,"October 08, 21",-0.00237
617c525748c3f71421d6a367,2021-10-07,642.225,646.84,630.45,631.85,631.85,3461611.0,3461611.0,-10.375,-1.615,636.38,"October 07, 21",-0.01615
